Species,Cont.W,X10.Co
Aphodius sp. 1,65,52
Aphodius sp. 2,56,114
Aleuchus sp. 2,347,707
Ateuchus sp. 3,24,24
Aleuchus sp. 4,0,1
Ateuchus sp. 5,33,12
Ateuchus sp. 6,40,14
Ateuchus sp. 7,3,0
Canlhidium sp. 1,38,31
Canlhidium sp. 2,1,1
Canlhidium sp. 3,5,0
Canlhidium sp. 4,290,793
Canlhidium sp. 5,1,1
Canlhidium sp. 7,88,298
Canthidhim sp. 8,73,63
Canlhidium sp. 9,9,6
Canthon sordidum (Mar.),2,1
Canthon sp. 2,3,12
Canthon sp. 3,2,2
Canthon triangularis (Drury),6,215
Coprophanaeus lancifer (L.),1,2
Coprophanaeus sp. 1,0,1
Cryptocanlhon peckorum (Howden),9,1
Dcltochilum carinatum Westwood,3,9
Deltochllum guyanensis Paulian,23,0
DcItochUurn orhiculare 1 .ansberge,6,0
DcItochUurn pscudoicarus Balthasar,2,1
Dichotomius boreus (Oliv.),43,18
Diehotomius lucasi (Luederwaldt),78,8
Dichotomius sp. 1,10,20
Dichotomius sp. 2,8,32
Dichotomius subaeneus (I.aporte),15,41
Eurysternus caribacus (Mcrbst),26,6
Eurystemus hirtcllus Dal man,4,0
Eurysternus velutinus Bates,14,2
Ncocanthidiurn atricollc (Preudh.),1,1
Ontherus carinifrons Luederwaldt,1,6
Onlhophagus bidenlalus Drapiez,78,925
Onlhophagus sp. 2,0,15
Oxysternon durantoni Arnaud,2,1
0xyster non prox. silenum,0,3
Phnnacus chalcomelas Perty,0,1
Scybalocunthon pygidialis (.Schmidt),15,25
Uroxys pigmaeus Har.,392,568
sp. DD,1,2
sp. FF,1,0
sp. GG,4,0
sp. HH,3,12
sp. JJ,1,0
sp.O,3,0
sp. P,12,22
sp. R,1,1
sp. W,6,30
sp. Y,2,13
