Species,NW5,PA1
Baeroptera  roria Mosely,1,0
Confluens  hamiltoni  (Tillyard),2,0
Olinga feredayi  (McLachlan),238,19
Pycnocentrodes  aeris  Wise,31,34
Pycnocentrodes  aureola  (McLachlan),173,64
Pycnocentria  evecta  McLachlan,9,17
Pycnocentria  sp.,1,0
Costachorema  xanthopterum  McFarlane,3,9
Edpercivalia  thomasi  (McFarlane),3,0
Hydrobiosis  budget  McFarlane,0,6
Hydrobiosis  centralis  Ward,0,1
Hydrobiosis  copis  McFarlane,1,17
Hydrobiosis  gollanis  Mosely,11,0
Hydrobiosis parumbripennis   McFarlane,53,39
Hydrobiosis  soror  Mosely,37,1
Hydrobiosis  spatulata  McFarlane,3,0
Hydrobiosis  umbripennis  McLachlan,0,18
Neurochorema  confusum  (McLachlan),2,7
Psilochorema  donaldsoni  McFarlane,1,0
Psilochorema  macroharpax  McFarlane,1,0
Psilochorema  mimicum  McLachlan,1,1
Tiphobiosis sp.,1,0
Alloecentrella  magnicornis  Wise,1,0
Helicopsyche  albescens  Tillyard,14,0
Helicopsyche  zealandica  Hudson,76,0
Aoteapsyche  colonica  (McLachlan),19,14
Aoteapsyche  sp.,5,94
Aoteapsyche  raruraru  (McFarlane),3,2
Orthopsyche fimbriata   (McLachlan),7,1
Paroxyethira  hendersoni  Mosely,3,140
Oxyethira  albiceps  (McLachlan),14,1941
Hudsonema  amabilis  (McLachlan),16,8
Oecetis  unicolor  (McLachlan),26,0
Triplectides dolichos  McFarlane,5,0
Triplectides obsoleta  (McLachlan),0,3
Triplectidina  moselyi  McFarlane  & Ward,1,0
Oeconesus  maori  McLachlan,0,1
Polyplectropus  altera  McFarlane,7,7
Polyplectropus  aurifusca  McFarlane,0,1
Plectrocnemia  machlaclani  Mosely,1,0
Zelandoptila  moselyi  Tillyard,2,3
