Species,H98,C98
Acantholabrus palloni,0,5
Argentina sphyraena,187,12076
Arnoglossus laterna,39,5
Arnoglossus rueppelli,1,42
Aspitrigla cuculus,2,1
Boops boops,1,0
Callionymus phae ton,15,45
Calliyonimus maculatus,0,7
Capros aper,98,8441
Centracanthus cirrus,0,247
Chlorophthalmus agassizi,17,14013
Citharus linguatula,2,0
Coelorhynchus coelorhynchus,110,4
Conger conger,1,0
Dentex macrophthalmus,1,0
Gadiculus argenteus,3201,1966
Gaidropsaurus mediterraneus,58,0
Gaidropsaurus spp.,5,0
Glossanodon leioglossus,2,1515
Gnatophis mistax,0,1
Helicolenus dactylopterus,249,176
Hygophum benoiti,1,0
Lepidopus caudatus,42,0
Lepidorhombus bosci,2,2
Lepidorhombus whiffjagonis,5,1
Lepidotrigla cavillone,3,0
Lepidotrigla dieuzeidei,10,628
Lophius budegassa,20,5
Lophius piscatorius,4,0
Macrorhamphosus scolopax,203,4534
Merluccius merluccius,503,641
Micromesistius poutassou,4,1
Mullus barbatus,1,407
Mullus surmuletus,5,289
Pagellus bogaraveo,1,0
Pagellus erythrinus,0,12
Peristedion cataphractum,31,5014
Phycis blennoides,120,14
Scorpaena elongata,1,0
Serranus hepatus,1,0
Symphurus nigrescens,3,0
Trigla lyra,44,115
Zeus faber,7,0
