Species,C,G
Agrilus angustulus,0,5
Agrilus convexicollis,0,2
Agrilus hastulifer,85,2
Agrilus laticornis,1,0
Agrilus olivicolor,10,17
Agrilus viridis,0,1
Anthaxia nitidula,1,2
Chrysobothris affinis,8,0
Dicerca alni,1,0
Melasis buprestoides**,0,24
Rhacopus sahlbergi,0,1
Aulonothroscus brevicollis**,6,265
Trixagus dermestoides*,0,131
Trixagus elateroides,17,39
Trixagus gracilis,0,2
Agrypnus murimus,1,3
Ampedus glycereus,1,3
Ampedus quercicola,10,32
Athous haemorrhoidalis,7,6
Athous vittatus,28,61
Dicronychus cinereus,0,1
Lacon punctatus,1,0
Melanotus crassicollis,3,0
Melanotus villosus,2,3
Cratosilis laeta,0,3
Malthinus flaveolus,2,12
Malthinus seriepunctatus**,13,320
Malthodes facetus,2,117
Malthodes lobatus,0,12
Malthodes marginatus,59,12
Malthodes minimus,1,0
Malthodes siculus,322,112
Malthodes umbrosus,7,39
Rhagonycha fulva**,86,8
Rhagonycha improvisa,22,8
Rhagonycha lignosa,136,30
Rhagonycha lutea,0,1
Aplocnemus jejunus,12,2
Aplocnemus nigricornis,202,32
Dasytes aeratus*,16,1
Dasytes plumbeus**,33,4
Sphinginus lobatus,3,1
Troglops albicans,2,0
Troglops silo,3,0
Nalassus dryadophilus ,0,15
Scaphidema metallicum ,2,0
Stenomax aeneus ,0,2
Aegomorphus clavipes,3,0
Aegosoma scabricorne,0,1
Alosterna tabacicolor,39,156
Anaesthetis testacea,1,1
Anaglyptus mysticus,1,1
Chlorophorus glabromaculatus,8,0
Deroplia genei*,12,0
Exocentrus adspersus*,29,6
Grammoptera ruficornis,19,42
Leiopus nebulosus*,27,4
Leptura aurulenta**,2,111
Mesosa nebulosa,6,3
Neoclytus acuminatus,27,16
Phymatodes testaceus,0,3
Plagionotus detritus,1,0
Poecilium alni*,19,5
Pogonocherus hispidus,0,1
Pyrrhidium sanguineum,1,0
Ropalopus femoratus*,13,0
Stenurella melanura**,4,112
Xylotrechus stebbingi**,4,46
Anthribus nebulosus,7,3
Choragus sheppardi,0,10
Dissoleucas niveirostris**,1,58
Eusphyrus vasconicus,0,2
Noxius curtirostris,4,2
Phaeochrotes cinctus,1,0
Platystomos albinus**,2,37
Tropideres albirostris,0,1
Ulorhinus bilineatus,0,2
Hypothenemus eruditus,0,2
Kissophagus hederae*,0,7
Scolytus intricatus*,8,39
Scolytus multistriatus,0,2
Scolytus rugulosus,31,2
Taphrorychus bicolor*,0,17
Xyleborinus saxesenii,30,383
Xyleborus dispar,23,100
Xyleborus dryographus**,0,103
Xyleborus monographus**,0,134
Xylocleptes bispinus,0,1
Xylosandrus germanus**,0,203
