Species,Natuurpunt,INBO,Total
Aglais io,52471,54329,106800
Aglais urticae,25047,35237,60284
Anthocharis cardamines,17393,15689,33082
Apatura ilia,4,0,4
Apatura iris,304,141,445
Aphantopus hyperantus,7636,8156,15792
Aporia crataegi †1960,2,120,122
Araschnia levana,18531,24772,43303
Argynnis adippe †1947,3,22,25
Argynnis aglaja †1971,1,54,55
Argynnis niobe †1977,0,21,21
Argynnis paphia,697,272,969
Aricia agestis,5251,6867,12118
Boloria euphrosyne †1949,0,37,37
Boloria selene †1994,0,181,181
Brenthis ino,7,0,7
Callophrys rubi,1552,2008,3560
Carcharodus alceae,402,16,418
Carterocephalus palaemon,2478,1159,3637
Celastrina argiolus,20579,21857,42436
Coenonympha hero †1912,0,16,16
Coenonympha pamphilus,10429,9886,20315
Coenonympha tullia †1994,0,70,70
Colias croceus M,12762,3380,16142
Colias hyale M,277,617,894
Cupido argiades,1,0,1
Cupido minimus,43,82,125
Cyaniris semiargus,76,222,298
Erynnis tages,130,102,232
Euphydryas aurinia †1959,0,65,65
Favonius quercus,3051,2217,5268
Gonepteryx rhamni,22357,20011,42368
Hesperia comma,471,145,616
Heteropterus morpheus †1995,0,29,29
Hipparchia semele,5160,4157,9317
Hipparchia statilinus †1930,0,11,11
Iphiclides podalirius,5,0,5
Issoria lathonia,3216,2794,6010
Lampides boeticus,44,0,44
Lasiommata megera,1882,4089,5971
Leptidea sinapis,585,144,729
Limenitis camilla,2323,1154,3477
Limenitis populi †1957,0,14,14
Lycaena phlaeas,15246,16393,31639
Lycaena tityrus,263,303,566
Maniola jurtina,31782,35117,66899
Melanargia galathea,23,53,76
Melitaea athalia †1968,0,80,80
Melitaea cinxia,466,300,766
Melitaea diamina †1954,0,28,28
Nymphalis antiopa,63,240,303
Nymphalis polychloros,362,323,685
Nymphalis xanthomelas,5,0,5
Ochlodes sylvanus,15660,11484,27144
Papilio machaon,8927,10322,19249
Pararge aegeria,56129,65290,121419
Phengaris alcon,342,441,783
Phengaris teleius †1980,0,136,136
Pieris brassicae,22030,45713,67743
Pieris napi,28294,54313,82607
Pieris rapae,52188,94957,147145
Plebejus argus,1711,1436,3147
Plebejus idas †1984,0,15,15
Polygonia c0album,36058,33660,69718
Polyommatus coridon,12,0,12
Polyommatus icarus,21186,20269,41455
Pontia daplidice,3,0,3
Pyrgus armoricanus †1952,0,18,18
Pyrgus malvae,527,589,1116
Pyronia tithonus,21184,31771,52955
Satyrium ilicis,617,397,1014
Satyrium w0album,504,97,601
Spialia sertorius †1937,0,8,8
Thecla betulae,2191,835,3026
Thymelicus lineola,5029,17087,22116
Thymelicus sylvestris,387,1012,1399
Vanessa atalanta (M),55306,69965,125271
Vanessa cardui M,21269,28865,50134
