Species,X1996,X1995
Pleuronectes bilineata,462,2883
Theragra chalcogramma,1268,159
Hippoglossus stenolepis,226,592
Icelinus borealis,74,296
Triglops spp.,125,146
Gymnocanthus spp.,54,265
Gadus macrocephalus,164,59
Radulinus asprellus,26,43
Atherestes stomias,62,0
Podothecus acipenserinus,12,67
Aspidophoroides bartoni,24,4
Ammodytes hexapterus,41,19
Hypsagonus quadricornis,12,9
Psychrolutes paradoxus,14,20
Liparis spp.,11,23
Myoxocephalus spp.,2,53
Hemilepidotus jordani,5,39
Bathymaster signatus,7,32
Cottidae,20,16
Sarritor frenatus,3,1
Anoplagonus inermis,18,18
Gadidae,0,39
Pleuronectes isolepis,2,0
Bathyagonus infraspinata,23,7
