Species,X1,X2
syllids,1,0
capitellids,2,108
polynoids,0,0
sabellids,0,0
paraonids,5,0
dorvelleids,0,46
orbiniids,0,244
maldanids,96,0
spionids,0,0
cirratulids,10,0
nephtyids,6,2
opheliids,0,0
phyllodocids,0,0
scalebragmid,0,0
magelonids,0,0
oweniid,0,0
terrebellid,1,0
sigalonid,0,0
spirorbids,0,0
other.poly,0,2
Oligochaete,12,0
Nemertean,0,2
Nematode,2,18
Giant.nematode,0,0
Sipunculid,0,0
SBA,0,0
Priapulid,2,0
WSB..white.sandy.blob,0,0
Coral.bits,0,0
Opisthobranch,0,0
Gast..I,0,0
Gast..II,19,0
Gast..III,1,122
Gast..IV,12,0
Gast..V,0,0
Gast..VI,0,0
Gast..VII,4,0
Gast..VIII,0,0
Gast..IX,0,0
Gast..X,0,0
Bivalve.I,0,0
Bivalve.II,20,0
Bivalve.III,0,0
Laternula,1,0
Abatus,14,0
Ophuroids,1,0
Holothurian,0,0
Echinoids,0,0
Asteroids,0,0
Gamm.I,7,1349
Gamm.II,81,1433
Gamm.IIA,0,820
Gamm.III,364,1
Gamm.IV,48,4
Gamm.V,0,0
Gamm.VI,47,0
Gamm.VII,11,0
Gamm.VIIA,115,0
Gamm.VIII,0,0
Gamm.IX,0,0
Gamm.X,0,0
Gamm.XI,1,3
Gamm.XII,0,0
Gamm.XIII,0,0
other.Gamm,0,0
Cum..I,25,0
Cum..II,51,0
Cum..III,0,0
Cum..IV,0,0
Cum..V,0,0
Cum..VI,0,0
Tanaid.I,641,58
Tanaid.II,109,2
Tanaid.III,2,0
Tanaid.IV,32,0
Isopod.I,62,29
Isopod.II,3,0
Isopod.IIA,0,0
Isopod.III,0,0
Isopod.IIIA,0,0
Isopod.IIIB,0,0
Isopod.IV,0,0
Isopod.V,0,0
Isopod.VI,1,0
Isopod.VII,0,0
IsopodVIIA,0,0
IsopodVIII,0,0
Isopod.IX,0,0
Isopod.X,0,0
Isopod.XI,0,0
Isopod.XII,0,0
Isopod.XIII,0,0
Isopod.XIV,0,0
Ostracod.I,656,0
Ost..II,1383,0
Ost..III,0,127
Ost.IV,0,0
Ost.V,12,0
Ost.VI,0,1
Cyclopoid.I,0,135
Harpact,3,31
Leptostracan,0,0
Pycno..I,0,0
Pycno..II,0,1
Mites,0,1
