Species,logged,Non.logged
"Plegaderus vulneratus (Panz., 1797)",0,1
"Sphaerites glabratus (F., 1792)",0,1
"Anisotoma humeralis (F., 1792)",2,1
"Anisotoma castanea (Hbst., 1792)",2,0
"Agathidium nigripenne (F., 1792)",0,7
"Phyllodrepa ioptera (Steph., 1834)",1,0
"Phloeonomus pusillus (Grav., 1806)",0,1
"Nudobius lentus (Grav., 1806)",17,43
"Atrecus affinis (Payk., 1789)",4,1
"Quedius maurus (Sahlb., 1830)",0,1
"Quedius plagiatus (Mannh., 1843)",0,25
"Placusa depressa (Maekl., 1845)",7,10
"Placusa tachyporoides (Waltl, 1838)",0,1
"Homalota plana (Gyll., 1810)",0,1
"Leptusa pulchella (Mannh., 1830)",2,8
"Leptusa fumida (Er., 1839)",5,5
"Phloeopora corticalis (Grav., 1802)",1,0
"Bibloporus bicolor (Denny, 1825)",2,1
"Plectophloeus fischeri (Aube, 1833)",4,0
"Dictyopterus aurora (Hbst., 1784)",3,3
"Pyropterus nigroruber (DeGeer, 1774)",1,1
"Platycis minutus (F., 1787)",0,1
"Malthodes fuscus (Waltl, 1838)",9,7
"Malthodes alpicola (Kiesw., 1852)",21,27
"Malthodes guttifer (Kiesw., 1852)",1,0
"Malthodes hexacanthus (Kiesw., 1852)",2,2
"Aplocnemus nigricornis (F., 1792)",2,1
"Aplocnemus tarsalis (Sahlb., 1822)",15,35
"Dasytes niger (L., 1761)",148,62
"Dasytes obscurus (Gyll., 1813)",172,90
"Dasytes plumbeus (Müll., 1776)",8,3
"Thanasimus formicarius (L., 1758)",23,36
"Thanasimus pectoralis (Fuss, 1863)",19,38
"Nemosoma elongatum (L., 1761)",10,48
"Ostoma ferruginea (L., 1758)",4,0
"Thymalus limbatus (F., 1787)",0,1
"Hylecoetus dermestoides (L., 1761)",67,110
"Ampedus erythrogonus (Müll., 1821)",5,5
"Ampedus balteatus (L., 1758)",52,15
"Ampedus aethiops (Lacord., 1835)",94,88
"Ampedus sanguineus (L., 1758)",1,0
"Ampedus melanurus (Muls.Guillb., 1855)",3,2
"Ampedus nigrinus (Hbst., 1784)",480,189
"Ampedus auripes (Reitter, 1895)",155,252
"Melanotus castanipes (Payk., 1800)",100,29
"Anostirus purpureus (Poda, 1761)",0,1
"Anostirus castaneus (L., 1758)",4,5
"Anostirus sulphuripennis (Germ., 1843)",2,0
"Denticollis rubens (Pill.Mitt., 1783)",7,10
"Diacanthous undulatus (DeGeer, 1774)",7,24
"Anthaxia helvetica (Stierl., 1868)",28,29
"Anthaxia quadripunctata (L., 1758)",5,8
"Megatoma undata (L., 1758)",2,0
"Cerylon ferrugineum (Steph., 1830)",1,1
"Epuraea deubeli (Rtt., 1898)",3,5
"Epuraea thoracica (Tourn., 1872)",19,96
"Epuraea angustula (Sturm, 1844)",2,5
"Epuraea boreella (Zett., 1828)",9,35
"Epuraea marseuli (Rtt., 1872)",20,64
"Epuraea pygmaea (Gyll., 1808)",31,50
"Epuraea binotata (Rtt., 1872)",13,46
"Epuraea terminalis (Mannh., 1843)",0,1
"Epuraea variegata (Hbst., 1793)",4,12
"Epuraea rufomarginata (Steph., 1830)",4,15
"Ipidia binotata (Rtt., 1875)",8,0
